date,total_sales,year,month,day,dayofweek,is_weekend,sales_yesterday,sales_last_week
2013-01-01,2511.618999,2013,1,1,1,0,,
2013-01-02,496092.417944,2013,1,2,2,0,2511.618999,
2013-01-03,361461.231124,2013,1,3,3,0,496092.417944,
2013-01-04,354459.6770927,2013,1,4,4,0,361461.231124,
2013-01-05,477350.121229,2013,1,5,5,1,354459.6770927,
2013-01-06,519695.401088,2013,1,6,6,1,477350.121229,
2013-01-07,336122.801066,2013,1,7,0,0,519695.401088,
2013-01-08,318347.777981,2013,1,8,1,0,336122.801066,2511.618999
2013-01-09,302530.809018,2013,1,9,2,0,318347.777981,496092.417944
2013-01-10,258982.003049,2013,1,10,3,0,302530.809018,361461.231124
2013-01-11,289737.6850845,2013,1,11,4,0,258982.003049,354459.6770927
2013-01-12,403258.2120105,2013,1,12,5,1,289737.6850845,477350.121229
2013-01-13,464638.547998,2013,1,13,6,1,403258.2120105,519695.401088
2013-01-14,293348.362078,2013,1,14,0,0,464638.547998,336122.801066
2013-01-15,299129.549954,2013,1,15,1,0,293348.362078,318347.777981
2013-01-16,318347.913946,2013,1,16,2,0,299129.549954,302530.809018
2013-01-17,267498.5159755,2013,1,17,3,0,318347.913946,258982.003049
2013-01-18,296130.850028,2013,1,18,4,0,267498.5159755,289737.6850845
2013-01-19,432459.852021,2013,1,19,5,1,296130.850028,403258.2120105
2013-01-20,461092.386047,2013,1,20,6,1,432459.852021,464638.547998
2013-01-21,311211.26595000003,2013,1,21,0,0,461092.386047,293348.362078
2013-01-22,296214.728983,2013,1,22,1,0,311211.26595000003,299129.549954
2013-01-23,283258.4530325,2013,1,23,2,0,296214.728983,318347.913946
2013-01-24,247245.690995,2013,1,24,3,0,283258.4530325,267498.5159755
2013-01-25,290022.77193,2013,1,25,4,0,247245.690995,296130.850028
2013-01-26,413799.7679753,2013,1,26,5,1,290022.77193,432459.852021
2013-01-27,430411.991233,2013,1,27,6,1,413799.7679753,461092.386047
2013-01-28,285460.169953,2013,1,28,0,0,430411.991233,311211.26595000003
2013-01-29,264488.81807649997,2013,1,29,1,0,285460.169953,296214.728983
2013-01-30,281061.127052,2013,1,30,2,0,264488.81807649997,283258.4530325
2013-01-31,271254.217996,2013,1,31,3,0,281061.127052,247245.690995
2013-02-01,369402.055266,2013,2,1,4,0,271254.217996,290022.77193
2013-02-02,518887.462705,2013,2,2,5,1,369402.055266,413799.7679753
2013-02-03,486336.82018,2013,2,3,6,1,518887.462705,430411.991233
2013-02-04,344308.715017,2013,2,4,0,0,486336.82018,285460.169953
2013-02-05,321245.83913,2013,2,5,1,0,344308.715017,264488.81807649997
2013-02-06,321538.177149,2013,2,6,2,0,321245.83913,281061.127052
2013-02-07,290807.530973,2013,2,7,3,0,321538.177149,271254.217996
2013-02-08,347441.789912,2013,2,8,4,0,290807.530973,369402.055266
2013-02-09,416176.2790747,2013,2,9,5,1,347441.789912,518887.462705
2013-02-10,300951.328993,2013,2,10,6,1,416176.2790747,486336.82018
2013-02-11,278627.588926,2013,2,11,0,0,300951.328993,344308.715017
2013-02-12,308800.7909121,2013,2,12,1,0,278627.588926,321245.83913
2013-02-13,319597.929962,2013,2,13,2,0,308800.7909121,321538.177149
2013-02-14,308164.016957,2013,2,14,3,0,319597.929962,290807.530973
2013-02-15,320168.883912,2013,2,15,4,0,308164.016957,347441.789912
2013-02-16,485660.494008,2013,2,16,5,1,320168.883912,416176.2790747
2013-02-17,399588.910014,2013,2,17,6,1,485660.494008,300951.328993
2013-02-18,350745.573191,2013,2,18,0,0,399588.910014,278627.588926
2013-02-19,293637.801951,2013,2,19,1,0,350745.573191,308800.7909121
2013-02-20,313803.162034,2013,2,20,2,0,293637.801951,319597.929962
2013-02-21,267711.1090155,2013,2,21,3,0,313803.162034,308164.016957
2013-02-22,285679.869131,2013,2,22,4,0,267711.1090155,320168.883912
2013-02-23,412897.349113,2013,2,23,5,1,285679.869131,485660.494008
2013-02-24,452726.126103,2013,2,24,6,1,412897.349113,399588.910014
2013-02-25,307110.875933,2013,2,25,0,0,452726.126103,350745.573191
2013-02-26,270425.0070675,2013,2,26,1,0,307110.875933,293637.801951
2013-02-27,288401.998919,2013,2,27,2,0,270425.0070675,313803.162034
2013-02-28,278116.291888,2013,2,28,3,0,288401.998919,267711.1090155
2013-03-01,378898.165064,2013,3,1,4,0,278116.291888,285679.869131
2013-03-02,547857.205258,2013,3,2,5,1,378898.165064,412897.349113
2013-03-03,559820.580027,2013,3,3,6,1,547857.205258,452726.126103
2013-03-04,383647.679097,2013,3,4,0,0,559820.580027,307110.875933
2013-03-05,332189.993189,2013,3,5,1,0,383647.679097,270425.0070675
2013-03-06,335726.580968,2013,3,6,2,0,332189.993189,288401.998919
2013-03-07,293099.52701,2013,3,7,3,0,335726.580968,278116.291888
2013-03-08,316600.679967,2013,3,8,4,0,293099.52701,378898.165064
2013-03-09,453259.496866,2013,3,9,5,1,316600.679967,547857.205258
2013-03-10,461859.756153,2013,3,10,6,1,453259.496866,559820.580027
2013-03-11,318379.133021,2013,3,11,0,0,461859.756153,383647.679097
2013-03-12,271823.37801,2013,3,12,1,0,318379.133021,332189.993189
2013-03-13,287869.663972,2013,3,13,2,0,271823.37801,335726.580968
2013-03-14,247541.420096,2013,3,14,3,0,287869.663972,293099.52701
2013-03-15,315878.090213,2013,3,15,4,0,247541.420096,316600.679967
2013-03-16,482233.433961,2013,3,16,5,1,315878.090213,453259.496866
2013-03-17,513439.584913,2013,3,17,6,1,482233.433961,461859.756153
2013-03-18,330283.80303,2013,3,18,0,0,513439.584913,318379.133021
2013-03-19,294020.245897,2013,3,19,1,0,330283.80303,271823.37801
2013-03-20,321207.006946,2013,3,20,2,0,294020.245897,287869.663972
2013-03-21,269130.127953,2013,3,21,3,0,321207.006946,247541.420096
2013-03-22,304100.453969,2013,3,22,4,0,269130.127953,315878.090213
2013-03-23,453192.003086,2013,3,23,5,1,304100.453969,482233.433961
2013-03-24,449794.636951,2013,3,24,6,1,453192.003086,513439.584913
2013-03-25,317559.6099585,2013,3,25,0,0,449794.636951,330283.80303
2013-03-26,275818.2359,2013,3,26,1,0,317559.6099585,294020.245897
2013-03-27,313691.148998,2013,3,27,2,0,275818.2359,321207.006946
2013-03-28,339293.269022,2013,3,28,3,0,313691.148998,269130.127953
2013-03-29,345513.132,2013,3,29,4,0,339293.269022,304100.453969
2013-03-30,452661.356036,2013,3,30,5,1,345513.132,453192.003086
2013-03-31,462107.639956,2013,3,31,6,1,452661.356036,449794.636951
2013-04-01,428816.447912,2013,4,1,0,0,462107.639956,317559.6099585
2013-04-02,377732.827961,2013,4,2,1,0,428816.447912,275818.2359
2013-04-03,373731.0758793,2013,4,3,2,0,377732.827961,313691.148998
2013-04-04,308738.385963,2013,4,4,3,0,373731.0758793,339293.269022
2013-04-05,336394.782031,2013,4,5,4,0,308738.385963,345513.132
2013-04-06,509424.214023,2013,4,6,5,1,336394.782031,452661.356036
2013-04-07,519048.376884,2013,4,7,6,1,509424.214023,462107.639956
2013-04-08,346649.815943,2013,4,8,0,0,519048.376884,428816.447912
